PERF 2025-09-02 10:54:23,983 GET /test 200 0.10s User:test_user IP:127.0.0.1
PERF 2025-09-02 10:55:24,553 GET /test 200 0.10s User:test_user IP:127.0.0.1
PERF {asctime} GET / 500 0.91s User: IP:127.0.0.1
PERF {asctime} GET / 500 0.06s User: IP:127.0.0.1
PERF {asctime} GET / 500 0.03s User: IP:127.0.0.1
PERF {asctime} GET / 500 0.01s User: IP:127.0.0.1
PERF {asctime} GET / 500 0.15s User: IP:127.0.0.1
PERF {asctime} GET / 500 0.01s User: IP:127.0.0.1
PERF {asctime} GET / 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET / 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/ 200 0.41s User: IP:127.0.0.1
PERF {asctime} GET / 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/ 200 0.02s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/generic/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/customer/ 200 0.19s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/staff/ 200 0.37s User: IP:127.0.0.1
PERF {asctime} GET /accounts/register/ 200 0.17s User: IP:127.0.0.1
PERF {asctime} GET /accounts/logout/ 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /admin/login/ unknown 0.00s User: IP:127.0.0.1
PERF {asctime} GET /admin/login/ 200 4.06s User: IP:127.0.0.1
PERF {asctime} GET /admin/login/ 200 4.06s User: IP:127.0.0.1
PERF {asctime} GET /static/css/ 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /media/ 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET / 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/ 200 0.03s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/generic/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/customer/ 200 0.01s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/staff/ 200 0.31s User: IP:127.0.0.1
PERF {asctime} GET /accounts/register/ 200 0.01s User: IP:127.0.0.1
PERF {asctime} GET /accounts/logout/ 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /admin/login/ unknown 0.00s User: IP:127.0.0.1
PERF {asctime} GET /admin/login/ 200 0.64s User: IP:127.0.0.1
